,index,id,name,images,imageAlt,tax,businessUnit,showSexualContent,productGroupId,hasReviewPhoto,cardType,sections,variants,categoryHierarchy,categoryId,categoryName,url,merchantId,campaignId,promotions,rushDeliveryDuration,freeCargo,campaignName,listingId,winnerVariant,itemNumber,discountedPriceInfo,hasVideoContent,hasCrossPromotion,hasCollectableCoupon,sameDayShipping,lowestPriceDuration,isLegalRequirementConfirmed,badges,brand.id,brand.name,ratingScore.averageRating,ratingScore.totalCount,price.sellingPrice,price.originalPrice,price.discountedPrice,price.buyingPrice,stamps,collectableCouponDiscount
0,0,193952078,%100 Natürel Soya wax Vegan Organik Mum Yapımı İçin Kalıp Şeklinde Doğal Kokulu Wax 1 KG,"['/ty406/product/media/images/20220420/18/95431790/319240767/1/1_org_zoom.jpg', '/ty407/product/media/images/20220420/18/95431790/319240767/2/2_org_zoom.jpg', '/ty404/product/media/images/20220420/20/95490822/319240767/1/1_org_zoom.jpg']",SillageCandle %100 Natürel Soya wax Vegan Organik Mum Yapımı İçin Kalıp Şeklinde Doğal Kokulu Wax 1 KG,18,Ev Dekorasyon,True,167909907,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 150, 'buyingPrice': 0, 'originalPrice': 130.9, 'sellingPrice': 150}, 'listingId': 'ac2b729f1cac96a556c26a2f8afe4b07', 'campaignId': 61, 'merchantId': 133102, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 14}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/sillagecandle/100-naturel-soya-wax-vegan-organik-mum-yapimi-icin-kalip-seklinde-dogal-kokulu-wax-1-kg-p-193952078?boutiqueId=61&merchantId=133102,133102,61,[],24,True,Tüm Ürünler,ac2b729f1cac96a556c26a2f8afe4b07,Tek Ebat,319240767,,False,False,False,False,14.0,False,"[{'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}, {'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",152546,SillageCandle,4.682170542635659,129.0,150.0,130.9,150.0,0,,
1,1,306856681,Dekoratif Buzdağı Mum - Buzdağı Kokulu Vegan Soya Wax Mumu,"['/ty442/product/media/images/20220530/0/118039024/490205319/1/1_org_zoom.jpg', '/ty441/product/media/images/20220530/0/118039024/490205319/2/2_org_zoom.jpg', '/ty443/product/media/images/20220530/0/118039024/490205319/3/3_org_zoom.jpg']",Cageartstudio Dekoratif Buzdağı Mum - Buzdağı Kokulu Vegan Soya Wax Mumu,18,Ev Dekorasyon,True,255962220,True,PRODUCT,"[{'id': '7'}, {'id': '101400'}, {'id': '12'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 25.9, 'buyingPrice': 0, 'originalPrice': 25.8, 'sellingPrice': 25.9}, 'listingId': '000f408a7a5049e227474bff08af7157', 'campaignId': 61, 'merchantId': 645919, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 14}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-buzdagi-mum-buzdagi-kokulu-vegan-soya-wax-mumu-p-306856681?boutiqueId=61&merchantId=645919,645919,61,[],0,False,Tüm Ürünler,000f408a7a5049e227474bff08af7157,Tek Ebat,490205319,,False,False,False,False,14.0,False,[],151639,Cageartstudio,4.621621621621622,37.0,25.9,25.8,25.9,0,,
2,2,323772656,3 Adet Bubble Silindir Mum Pudra Kokulu Pearl Candle Soya Wax Vegan Mum,"['/ty760/product/media/images/20230303/10/294596845/517163552/2/2_org_zoom.png', '/ty756/product/media/images/20230303/10/294597253/517163552/2/2_org_zoom.png', '/ty756/product/media/images/20230303/10/294597021/517163552/2/2_org_zoom.png', '/ty758/product/media/images/20230303/10/294596750/517163552/2/2_org_zoom.png', '/ty758/product/media/images/20230303/10/294596968/517163552/2/2_org_zoom.png', '/ty757/product/media/images/20230303/10/294598045/517163552/2/2_org_zoom.png']",Ant&Bee 3 Adet Bubble Silindir Mum Pudra Kokulu Pearl Candle Soya Wax Vegan Mum,18,Ev Dekorasyon,True,267340044,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 83.5, 'buyingPrice': 0, 'originalPrice': 59.85, 'sellingPrice': 83.5}, 'listingId': 'faf5f1d8f9788b1afe5f2d4a70bb72ef', 'campaignId': 61, 'merchantId': 644250, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 7}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/ant-bee/3-adet-bubble-silindir-mum-pudra-kokulu-pearl-candle-soya-wax-vegan-mum-p-323772656?boutiqueId=61&merchantId=644250,644250,61,[],24,False,Tüm Ürünler,faf5f1d8f9788b1afe5f2d4a70bb72ef,Tek Ebat,517163552,,False,False,False,False,7.0,False,"[{'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}]",152569,Ant&Bee,4.664835164835165,182.0,83.5,59.85,83.5,0,,
3,3,475157967,3 Adet Bubble Silindir Mum Krem Pudra Kokulu Candle Soya Wax Vegan Mum,"['/ty692/product/media/images/20230117/10/260286095/676540473/1/1_org_zoom.jpg', '/ty691/product/media/images/20230117/10/260286095/676540473/2/2_org_zoom.jpg', '/ty690/product/media/images/20230117/10/260286095/676540473/3/3_org_zoom.jpg', '/ty692/product/media/images/20230117/10/260286095/676540473/4/4_org_zoom.jpg', '/ty692/product/media/images/20230117/10/260286095/676540473/5/5_org_zoom.jpg', '/ty690/product/media/images/20230117/10/260286095/676540473/6/6_org_zoom.jpg']",Mumy Desing 3 Adet Bubble Silindir Mum Krem Pudra Kokulu Candle Soya Wax Vegan Mum,18,Ev Dekorasyon,True,338705960,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 77.5, 'buyingPrice': 0, 'originalPrice': 57.8, 'sellingPrice': 77.5}, 'listingId': 'fa5447bfc40ffc082f16dedff332029b', 'campaignId': 61, 'merchantId': 644250, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 7}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/mumy-desing/3-adet-bubble-silindir-mum-krem-pudra-kokulu-candle-soya-wax-vegan-mum-p-475157967?boutiqueId=61&merchantId=644250,644250,61,[],24,False,Tüm Ürünler,fa5447bfc40ffc082f16dedff332029b,Tek Ebat,676540473,,False,False,False,False,7.0,False,"[{'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}]",1598959,Mumy Desing,4.666666666666667,15.0,77.5,57.8,77.5,0,,
4,4,634780855,Dekoratif Orta Boy Küre Desenli Mum - Kokulu Vegan Soya Wax Mumu 1 Adet,"['/ty700/product/media/images/20230124/1/264213016/838858152/1/1_org_zoom.jpg', '/ty699/product/media/images/20230124/1/264213016/838858152/2/2_org_zoom.jpg']",Cageartstudio Dekoratif Orta Boy Küre Desenli Mum - Kokulu Vegan Soya Wax Mumu 1 Adet,18,Ev Dekorasyon,True,497207796,True,PRODUCT,"[{'id': '7'}, {'id': '101400'}, {'id': '12'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 48, 'buyingPrice': 0, 'originalPrice': 45, 'sellingPrice': 48}, 'listingId': '19ded92740ed8e0083c1f23a2ac1c39c', 'campaignId': 61, 'merchantId': 321449, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-orta-boy-kure-desenli-mum-kokulu-vegan-soya-wax-mumu-1-adet-p-634780855?boutiqueId=61&merchantId=321449,321449,61,[],0,False,Tüm Ürünler,19ded92740ed8e0083c1f23a2ac1c39c,Tek Ebat,838858152,,False,False,False,False,,False,[],151639,Cageartstudio,4.85,20.0,48.0,45.0,48.0,0,"[{'imageUrl': 'indexing-sticker-stamp/moon/e68c3d96-a877-4e49-923b-ca420419ab40.png', 'type': 'TypeA', 'position': 'upper-left', 'aspectRatio': 0.25, 'priority': 999}]",
5,5,411334027,Beyaz Renk 2'li Beton Saksı Içinde Okyanus Kokulu Soya Mum Seti,"['/ty608/product/media/images/20221122/13/219579689/629025881/1/1_org_zoom.jpg', '/ty606/product/media/images/20221122/13/219579689/629025881/2/2_org_zoom.jpg']",ersustore Beyaz Renk 2'li Beton Saksı Içinde Okyanus Kokulu Soya Mum Seti,18,Ev Dekorasyon,True,315021957,True,PRODUCT,"[{'id': '7'}, {'id': '101400'}, {'id': '12'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 194, 'buyingPrice': 0, 'originalPrice': 141.06, 'sellingPrice': 194}, 'listingId': 'c0c7717b2899194f770afaa8fef29fd4', 'campaignId': 61, 'merchantId': 317467, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/ersustore/beyaz-renk-2-li-beton-saksi-icinde-okyanus-kokulu-soya-mum-seti-p-411334027?boutiqueId=61&merchantId=317467,317467,61,[],24,True,Tüm Ürünler,c0c7717b2899194f770afaa8fef29fd4,Tek Ebat,629025881,,False,True,True,False,,False,"[{'title': '10 TL Kupon', 'type': 'COUPON_DISCOUNT'}, {'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}, {'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}, {'title': 'Birlikte Al Kazan', 'type': 'CROSS_PROMOTION'}]",152571,ersustore,4.649122807017544,57.0,194.0,141.06,194.0,0,,10.0
6,6,385590760,Happy Therapy - Japon Kiraz Çiçeği Kokulu Vegan Doğal Terapi Mum,['/ty598/product/media/images/20221114/1/213759069/621546299/1/1_org_zoom.jpg'],Gloria Candle Happy Therapy - Japon Kiraz Çiçeği Kokulu Vegan Doğal Terapi Mum,18,Ev Dekorasyon,True,311027980,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 39, 'buyingPrice': 0, 'originalPrice': 49.9, 'sellingPrice': 39}, 'listingId': 'ae891cbbdaa7b26fdcf6d611a715f383', 'campaignId': 61, 'merchantId': 759436, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 30}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/gloria-candle/happy-therapy-japon-kiraz-cicegi-kokulu-vegan-dogal-terapi-mum-p-385590760?boutiqueId=61&merchantId=759436,759436,61,[],0,False,Tüm Ürünler,ae891cbbdaa7b26fdcf6d611a715f383,Tek Ebat,621546299,,False,False,False,False,30.0,False,[],1736937,Gloria Candle,4.0,69.0,39.0,49.9,39.0,0,"[{'imageUrl': 'indexing-sticker-stamp/moon/e68c3d96-a877-4e49-923b-ca420419ab40.png', 'type': 'TypeA', 'position': 'upper-left', 'aspectRatio': 0.25, 'priority': 999}]",
7,7,411256313,Yeşil 2'li Beton Saksı Içinde Lavanta Kokulu Soya Mum Seti,"['/ty607/product/media/images/20221122/10/219499464/628915673/1/1_org_zoom.jpg', '/ty606/product/media/images/20221122/10/219499464/628915673/2/2_org_zoom.jpg', '/ty608/product/media/images/20221122/10/219499464/628915673/3/3_org_zoom.jpg', '/ty608/product/media/images/20221122/10/219499464/628915673/4/4_org_zoom.jpg']",ersustore Yeşil 2'li Beton Saksı Içinde Lavanta Kokulu Soya Mum Seti,18,Ev Dekorasyon,True,315021957,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 194, 'buyingPrice': 0, 'originalPrice': 140.65, 'sellingPrice': 194}, 'listingId': 'a5e3f89d17e525a12f777f3a00b53d0c', 'campaignId': 61, 'merchantId': 317467, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/ersustore/yesil-2-li-beton-saksi-icinde-lavanta-kokulu-soya-mum-seti-p-411256313?boutiqueId=61&merchantId=317467,317467,61,[],24,True,Tüm Ürünler,a5e3f89d17e525a12f777f3a00b53d0c,Tek Ebat,628915673,,False,True,True,False,,False,"[{'title': '10 TL Kupon', 'type': 'COUPON_DISCOUNT'}, {'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}, {'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}, {'title': 'Birlikte Al Kazan', 'type': 'CROSS_PROMOTION'}]",152571,ersustore,4.733333333333333,45.0,194.0,140.65,194.0,0,,10.0
8,8,353142950,Dekoratif Desenli Sütun Mum - Kokulu Vegan Soya Wax Mumu 2li,"['/ty532/product/media/images/20220912/13/174400498/568095304/1/1_org_zoom.jpg', '/ty532/product/media/images/20220912/13/174400498/568095304/2/2_org_zoom.jpg', '/ty533/product/media/images/20220912/13/174400498/568095304/3/3_org_zoom.jpg']",Cageartstudio Dekoratif Desenli Sütun Mum - Kokulu Vegan Soya Wax Mumu 2li,18,Ev Dekorasyon,True,288357572,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 218, 'buyingPrice': 0, 'originalPrice': 190, 'sellingPrice': 218}, 'listingId': 'c05dcfd6572a82d9dac8fb3570ba56ce', 'campaignId': 61, 'merchantId': 337339, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 7}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-desenli-sutun-mum-kokulu-vegan-soya-wax-mumu-2li-p-353142950?boutiqueId=61&merchantId=337339,337339,61,[],0,True,Tüm Ürünler,c05dcfd6572a82d9dac8fb3570ba56ce,Tek Ebat,568095304,,False,False,False,False,7.0,False,"[{'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",151639,Cageartstudio,4.412371134020619,97.0,218.0,190.0,218.0,0,"[{'imageUrl': 'indexing-sticker-stamp/moon/aa7816f3-395f-43b0-a9fc-0b806f923a6a.png', 'type': 'TypeA', 'position': 'upper-left', 'aspectRatio': 0.25, 'priority': 998}]",
9,9,331316513,Dekoratif U Desenli Kokulu Mum - Kokulu Vegan Soya Wax Mumu,"['/ty489/product/media/images/20220724/21/149294460/528034348/1/1_org_zoom.jpg', '/ty491/product/media/images/20220724/21/149294460/528034348/2/2_org_zoom.jpg', '/ty491/product/media/images/20220724/21/149294460/528034348/3/3_org_zoom.jpg', '/ty491/product/media/images/20220724/21/149294460/528034348/4/4_org_zoom.jpg', '/ty490/product/media/images/20220724/21/149294460/528034348/5/5_org_zoom.jpg', '/ty490/product/media/images/20220724/21/149294460/528034348/6/6_org_zoom.jpg']",Cageartstudio Dekoratif U Desenli Kokulu Mum - Kokulu Vegan Soya Wax Mumu,18,Ev Dekorasyon,True,271199653,True,PRODUCT,"[{'id': '7'}, {'id': '101400'}, {'id': '12'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 49.9, 'buyingPrice': 0, 'originalPrice': 59.9, 'sellingPrice': 49.9}, 'listingId': '5a0b293b7fe4518babe7ae86b9b33f6a', 'campaignId': 61, 'merchantId': 790537, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 14}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-u-desenli-kokulu-mum-kokulu-vegan-soya-wax-mumu-p-331316513?boutiqueId=61&merchantId=790537,790537,61,[],24,False,Tüm Ürünler,5a0b293b7fe4518babe7ae86b9b33f6a,Tek Ebat,528034348,,False,False,False,False,14.0,False,"[{'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}]",151639,Cageartstudio,4.285714285714286,28.0,49.9,59.9,49.9,0,"[{'imageUrl': 'indexing-sticker-stamp/moon/aa7816f3-395f-43b0-a9fc-0b806f923a6a.png', 'type': 'TypeA', 'position': 'upper-left', 'aspectRatio': 0.25, 'priority': 998}]",
10,10,331305290,Dekoratif Desenli Kokulu Mum 2li - Kokulu Vegan Soya Wax Mumu 2li,"['/ty491/product/media/images/20220724/20/149281350/528000140/1/1_org_zoom.jpg', '/ty489/product/media/images/20220724/20/149281350/528000140/2/2_org_zoom.jpg', '/ty490/product/media/images/20220724/20/149281350/528000140/3/3_org_zoom.jpg', '/ty489/product/media/images/20220724/20/149281350/528000140/4/4_org_zoom.jpg']",Cageartstudio Dekoratif Desenli Kokulu Mum 2li - Kokulu Vegan Soya Wax Mumu 2li,18,Ev Dekorasyon,True,271191612,True,PRODUCT,"[{'id': '7'}, {'id': '101400'}, {'id': '12'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 159, 'buyingPrice': 0, 'originalPrice': 149, 'sellingPrice': 159}, 'listingId': '1103712d0785064c352e11f8d522c939', 'campaignId': 61, 'merchantId': 321449, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-desenli-kokulu-mum-2li-kokulu-vegan-soya-wax-mumu-2li-p-331305290?boutiqueId=61&merchantId=321449,321449,61,[],0,True,Tüm Ürünler,1103712d0785064c352e11f8d522c939,Tek Ebat,528000140,,False,False,False,False,,False,"[{'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",151639,Cageartstudio,4.486486486486487,37.0,159.0,149.0,159.0,0,,
11,11,652497701,Bubble Silindir Mum 2li Krem Beyaz Kokulu Pearl Vegan Mum,"['/ty738/product/media/images/20230221/10/285568518/862292519/1/1_org_zoom.jpg', '/ty738/product/media/images/20230221/10/285568518/862292519/2/2_org_zoom.jpg', '/ty739/product/media/images/20230221/10/285568518/862292519/3/3_org_zoom.jpg']",Mumy Desing Bubble Silindir Mum 2li Krem Beyaz Kokulu Pearl Vegan Mum,18,Ev Dekorasyon,True,508563332,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 49.9, 'buyingPrice': 0, 'originalPrice': 45, 'sellingPrice': 49.9}, 'listingId': '7f407c37e7951ab6bd268a6ced414dfb', 'campaignId': 61, 'merchantId': 644250, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/mumy-desing/bubble-silindir-mum-2li-krem-beyaz-kokulu-pearl-vegan-mum-p-652497701?boutiqueId=61&merchantId=644250,644250,61,[],24,False,Tüm Ürünler,7f407c37e7951ab6bd268a6ced414dfb,Tek Ebat,862292519,,False,False,False,False,,False,"[{'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}]",1598959,Mumy Desing,4.6,5.0,49.9,45.0,49.9,0,,
12,12,287433537,Dekoratif Büyük Wave Mum - Kokulu Vegan Soya Wax Mumu,"['/ty408/product/media/images/20220425/15/97360237/457846681/1/1_org_zoom.jpg', '/ty408/product/media/images/20220425/15/97360237/457846681/2/2_org_zoom.jpg', '/ty408/product/media/images/20220425/15/97360237/457846681/3/3_org_zoom.jpg']",Cageartstudio Dekoratif Büyük Wave Mum - Kokulu Vegan Soya Wax Mumu,18,Ev Dekorasyon,True,242215378,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 134, 'buyingPrice': 0, 'originalPrice': 98, 'sellingPrice': 134}, 'listingId': 'ea488e3e362dc097574be6c3a09a4d10', 'campaignId': 61, 'merchantId': 337339, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-buyuk-wave-mum-kokulu-vegan-soya-wax-mumu-p-287433537?boutiqueId=61&merchantId=337339,337339,61,[],0,True,Tüm Ürünler,ea488e3e362dc097574be6c3a09a4d10,Tek Ebat,457846681,,False,False,False,False,,False,"[{'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",151639,Cageartstudio,4.720338983050848,118.0,134.0,98.0,134.0,0,,
13,13,48956287,Altın Metal Kapaklı Yasemin Sandal Kokulu Vegan Bardak Mum,['/ty222/product/media/images/20211103/13/164637423/86796226/1/1_org_zoom.jpg'],Missi Altın Metal Kapaklı Yasemin Sandal Kokulu Vegan Bardak Mum,18,Ev Dekorasyon,True,41140098,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 85.83, 'buyingPrice': 0, 'originalPrice': 85.5, 'sellingPrice': 85.83}, 'listingId': '4634042c4353c22ddbdfae9adc335eb7', 'campaignId': 61, 'merchantId': 174, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 14}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/missi/altin-metal-kapakli-yasemin-sandal-kokulu-vegan-bardak-mum-p-48956287?boutiqueId=61&merchantId=174,174,61,[],24,False,Tüm Ürünler,4634042c4353c22ddbdfae9adc335eb7,Tek Ebat,86796226,,True,False,False,False,14.0,False,"[{'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}, {'title': 'Videolu Ürün', 'type': 'VIDEO_CONTENT'}]",143583,Missi,4.569300518134715,1544.0,85.83,85.5,85.83,0,"[{'imageUrl': 'indexing-sticker-stamp/moon/aa7816f3-395f-43b0-a9fc-0b806f923a6a.png', 'type': 'TypeA', 'position': 'upper-left', 'aspectRatio': 0.25, 'priority': 998}]",
14,14,306085665,Dekoratif Dalgalı Mum - Dalgalı Kokulu Vegan Soya Wax Mumu,"['/ty443/product/media/images/20220528/14/117234647/489008234/1/1_org_zoom.jpg', '/ty443/product/media/images/20220528/14/117234647/489008234/2/2_org_zoom.jpg', '/ty441/product/media/images/20220528/14/117234647/489008234/3/3_org_zoom.jpg', '/ty441/product/media/images/20220528/14/117234647/489008234/4/4_org_zoom.jpg', '/ty441/product/media/images/20220528/14/117234647/489008234/5/5_org_zoom.jpg']",Cageartstudio Dekoratif Dalgalı Mum - Dalgalı Kokulu Vegan Soya Wax Mumu,18,Ev Dekorasyon,True,255235754,True,PRODUCT,"[{'id': '101400'}, {'id': '12'}, {'id': '7'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 75, 'buyingPrice': 0, 'originalPrice': 78, 'sellingPrice': 75}, 'listingId': 'fb5c483e5b3efbe71bdbe94a162fb60e', 'campaignId': 61, 'merchantId': 337339, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 30}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-dalgali-mum-dalgali-kokulu-vegan-soya-wax-mumu-p-306085665?boutiqueId=61&merchantId=337339,337339,61,[],0,False,Tüm Ürünler,fb5c483e5b3efbe71bdbe94a162fb60e,Tek Ebat,489008234,,False,False,False,False,30.0,False,[],151639,Cageartstudio,4.8352941176470585,85.0,75.0,78.0,75.0,0,"[{'imageUrl': 'indexing-sticker-stamp/moon/aa7816f3-395f-43b0-a9fc-0b806f923a6a.png', 'type': 'TypeA', 'position': 'upper-left', 'aspectRatio': 0.25, 'priority': 998}]",
15,15,306097640,Dekoratif Desenli Uzun Kartanesi Mum - Snowflake Kokulu Vegan Soya Wax Mumu,"['/ty441/product/media/images/20220528/16/117265364/489025524/1/1_org_zoom.jpg', '/ty443/product/media/images/20220528/16/117265364/489025524/2/2_org_zoom.jpg', '/ty441/product/media/images/20220528/16/117265364/489025524/3/3_org_zoom.jpg', '/ty443/product/media/images/20220528/16/117265364/489025524/4/4_org_zoom.jpg', '/ty442/product/media/images/20220528/16/117265364/489025524/5/5_org_zoom.jpg']",Cageartstudio Dekoratif Desenli Uzun Kartanesi Mum - Snowflake Kokulu Vegan Soya Wax Mumu,18,Ev Dekorasyon,True,255246318,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 75, 'buyingPrice': 0, 'originalPrice': 75, 'sellingPrice': 75}, 'listingId': 'b5368428c8da9b3e733918a8497a7767', 'campaignId': 61, 'merchantId': 321449, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-desenli-uzun-kartanesi-mum-snowflake-kokulu-vegan-soya-wax-mumu-p-306097640?boutiqueId=61&merchantId=321449,321449,61,[],0,False,Tüm Ürünler,b5368428c8da9b3e733918a8497a7767,Tek Ebat,489025524,,False,False,False,False,,False,[],151639,Cageartstudio,4.884615384615385,78.0,75.0,75.0,75.0,0,,
16,16,348251488,Dekoratif Beton Saksı Içinde Amber Ve Vanilya Kokulu Vegan Mum,"['/ty728/product/media/images/20230211/14/279423270/558428068/1/1_org_zoom.jpg', '/ty726/product/media/images/20230211/14/279423270/558428068/2/2_org_zoom.jpg', '/ty727/product/media/images/20230211/14/279423270/558428068/3/3_org_zoom.jpg']",ersustore Dekoratif Beton Saksı Içinde Amber Ve Vanilya Kokulu Vegan Mum,18,Ev Dekorasyon,True,283887392,True,PRODUCT,"[{'id': '101400'}, {'id': '12'}, {'id': '7'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 89, 'buyingPrice': 0, 'originalPrice': 55.22, 'sellingPrice': 89}, 'listingId': 'fb026caf38bc62c3361049910748d026', 'campaignId': 61, 'merchantId': 317467, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/ersustore/dekoratif-beton-saksi-icinde-amber-ve-vanilya-kokulu-vegan-mum-p-348251488?boutiqueId=61&merchantId=317467,317467,61,[],24,False,Tüm Ürünler,fb026caf38bc62c3361049910748d026,Tek Ebat,558428068,,False,True,True,False,,False,"[{'title': 'Kupon Fırsatı', 'type': 'COLLECTABLE_COUPON'}, {'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}, {'title': 'Birlikte Al Kazan', 'type': 'CROSS_PROMOTION'}]",152571,ersustore,4.102941176470588,68.0,89.0,55.22,89.0,0,,
